type,date,time,value
daily,30/05/2022,19:12:00,20
daily,31/05/2022,20:36:00,20
daily,1/6/2022,21:00:00,20
daily,2/6/2022,22:24:00,20
daily,3/6/2022,23:48:00,20
daily,4/6/2022,7:12:00,20
daily,5/6/2022,8:36:00,20
weekly,5/6/2022,9:45:00,100
daily,6/6/2022,9:00:00,20
weekly,6/6/2022,11:15:00,100
daily,7/6/2022,10:24:00,20
daily,8/6/2022,11:48:00,20
daily,9/6/2022,12:12:00,20
daily,10/6/2022,13:36:00,20
daily,11/6/2022,14:00:00,20
daily,12/6/2022,15:24:00,20
daily,13/06/2022,16:48:00,20
weekly,14/06/2022,13:45:00,100
daily,14/06/2022,17:12:00,20
daily,15/06/2022,18:36:00,20
daily,16/06/2022,19:00:00,20
daily,17/06/2022,20:24:00,20
daily,18/06/2022,21:48:00,20
daily,19/06/2022,22:12:00,20
daily,20/06/2022,23:36:00,20
daily,21/06/2022,7:00:00,20
daily,22/06/2022,8:24:00,20
weekly,22/06/2022,15:15:00,100
daily,23/06/2022,9:48:00,20
daily,24/06/2022,10:12:00,20
daily,25/06/2022,11:36:00,20
montly,25/06/2022,22:00:00,200
daily,26/06/2022,12:00:00,20
daily,27/06/2022,13:24:00,20
daily,28/06/2022,14:48:00,20
daily,29/06/2022,15:12:00,20
daily,30/06/2022,16:36:00,20
weekly,30/06/2022,17:45:00,100
daily,1/7/2022,17:00:00,20
daily,2/7/2022,18:24:00,20
daily,3/7/2022,19:48:00,20
daily,4/7/2022,20:12:00,20
daily,5/7/2022,21:36:00,20
daily,6/7/2022,22:00:00,20
daily,7/7/2022,23:24:00,20
daily,8/7/2022,7:48:00,20
weekly,8/7/2022,19:15:00,100
daily,9/7/2022,8:12:00,20
daily,10/7/2022,9:36:00,20
daily,11/7/2022,10:00:00,20
daily,12/7/2022,11:24:00,20
daily,13/07/2022,12:48:00,20
daily,14/07/2022,13:12:00,20
daily,15/07/2022,14:36:00,20
daily,16/07/2022,15:00:00,20
weekly,16/07/2022,21:45:00,100
daily,17/07/2022,16:24:00,20
daily,18/07/2022,17:48:00,20
daily,19/07/2022,18:12:00,20
daily,20/07/2022,19:36:00,20
daily,21/07/2022,20:00:00,20
daily,22/07/2022,21:24:00,20
daily,23/07/2022,22:48:00,20
weekly,24/07/2022,9:15:00,100
daily,24/07/2022,23:12:00,20
daily,25/07/2022,7:36:00,20
weekly,25/07/2022,11:45:00,100
daily,26/07/2022,8:00:00,20
daily,27/07/2022,9:24:00,20
daily,28/07/2022,10:48:00,20
daily,29/07/2022,11:12:00,20
daily,30/07/2022,12:36:00,20
montly,30/07/2022,23:00:00,200
daily,31/07/2022,13:00:00,20
daily,1/8/2022,14:24:00,20
weekly,2/8/2022,13:15:00,100
daily,2/8/2022,15:48:00,20
daily,3/8/2022,16:12:00,20
daily,4/8/2022,17:36:00,20
daily,5/8/2022,18:00:00,20
daily,6/8/2022,19:24:00,20
daily,7/8/2022,20:48:00,20
daily,8/8/2022,21:12:00,20
daily,9/8/2022,22:36:00,20
weekly,10/8/2022,15:45:00,100
daily,10/8/2022,23:00:00,20
daily,11/8/2022,7:36:00,20
daily,12/8/2022,8:48:00,20
daily,13/08/2022,9:12:00,20
daily,14/08/2022,10:36:00,20
daily,15/08/2022,11:00:00,20
daily,16/08/2022,12:24:00,20
daily,17/08/2022,13:48:00,20
daily,18/08/2022,14:12:00,20
weekly,18/08/2022,17:15:00,100
daily,19/08/2022,15:36:00,20
daily,20/08/2022,16:00:00,20
daily,21/08/2022,17:24:00,20
daily,22/08/2022,18:48:00,20
daily,23/08/2022,19:12:00,20
daily,24/08/2022,20:36:00,20
daily,25/08/2022,21:00:00,20
weekly,26/08/2022,19:45:00,100
daily,26/08/2022,22:24:00,20
montly,27/08/2022,7:00:00,200
daily,27/08/2022,23:48:00,20
daily,28/08/2022,7:12:00,20
daily,29/08/2022,8:36:00,20
daily,30/08/2022,9:00:00,20
daily,31/08/2022,10:24:00,20
daily,1/9/2022,11:48:00,20
daily,2/9/2022,12:12:00,20
daily,3/9/2022,13:36:00,20
weekly,3/9/2022,21:15:00,100
daily,4/9/2022,14:00:00,20
daily,5/9/2022,15:24:00,20
daily,6/9/2022,16:48:00,20
daily,7/9/2022,17:12:00,20
daily,8/9/2022,18:36:00,20
daily,9/9/2022,19:00:00,20
daily,10/9/2022,20:24:00,20
weekly,11/9/2022,9:45:00,100
daily,11/9/2022,21:48:00,20
weekly,12/9/2022,11:15:00,100
daily,12/9/2022,22:12:00,20
daily,13/09/2022,23:36:00,20
daily,14/09/2022,7:00:00,20
